,frame,time,role1,x1,y1,role2,x2,y2,role3,x3,y3,role4,x4,y4,ballx,bally,speed1x,speed1y,speed2x,speed2y,speed3x,speed3y,speed4x,speed4y,shot,targetx,targety,fromx,fromy,duration,shot_full,lastHit,rally
52,13656,1.7333333333333334,opponent,4.198103,13.99746,opponent,7.2423263,13.163953,teammate,2.2670846,2.1554155,receiver,8.596537,2.2163162,4.198103,13.99746,-0.0014879999999894977,0.012989999999977186,-0.0002310000000083079,-0.0018599999999935335,0.08209199999999583,-0.32538900000000925,-0.09581999999996427,-0.4376760000000024,normal,8.0717535,1.7545718,4.198103,13.99746,0.6666666666666666,VD,T,0
53,13657,1.7666666666666666,opponent,4.1980534,13.997893,opponent,7.2423186,13.163891,teammate,2.269821,2.1445692,receiver,8.593343,2.201727,4.3917855249999995,13.38531559,0.7153679999999873,-2.0970599999999706,-0.2148330000000076,0.09662999999999755,-0.06920399999999827,-1.23448199999999,-1.4747400000000077,-0.4198349999999973,undef,0,0,0,0,0,,T,0
54,13658,1.8,opponent,4.221899,13.927991,opponent,7.2351575,13.167112,teammate,2.2675142,2.1034198,receiver,8.544185,2.1877325,4.585468049999999,12.77317118,1.556550000000012,-6.325679999999991,0.06367500000001414,0.591930000000005,0.04515599999999953,-1.2328740000000105,-1.7731500000000189,-3.408030000000002,undef,0,0,0,0,0,,T,0
55,13659,1.8333333333333333,opponent,4.273784,13.717135,opponent,7.23728,13.186843,teammate,2.2690194,2.062324,receiver,8.48508,2.0741315,4.779150574999999,12.16102677,1.0971300000000106,0.6546599999999536,0.10483799999999377,1.148699999999998,0.6702360000000018,-2.556857999999993,-1.711140000000011,-2.3867550000000026,undef,0,0,0,0,0,,T,0
56,13660,1.8666666666666667,opponent,4.310355,13.738957,opponent,7.2407746,13.225133,teammate,2.2913606,1.9770954,receiver,8.428042,1.994573,4.9728331,11.54888236,1.000217999999995,2.8567800000000076,-0.37340400000000606,-1.2369299999999939,0.5418629999999958,-2.9395949999999993,-1.6083900000000106,-1.3664579999999948,undef,0,0,0,0,0,,T,0
57,13661,1.9,opponent,4.3436956,13.834183,opponent,7.2283278,13.183902,teammate,2.3094227,1.8791089,receiver,8.374429,1.9490244,5.166515625,10.93673795,0.296517000000005,1.3692600000000255,0.014247000000011667,-0.8139899999999756,0.7415910000000103,-4.042059,-2.4677249999999695,-1.8830999999999998,undef,0,0,0,0,0,,T,0
58,13662,1.9333333333333333,opponent,4.3535795,13.879825,opponent,7.2288027,13.156769,teammate,2.3341424,1.7443736,receiver,8.2921715,1.8862544,5.3601981499999996,10.324593539999999,-0.15889500000000112,-0.24708000000000396,-0.2011289999999999,-0.1429500000000239,0.11422199999999716,0.16321199999999703,0.2922450000000154,-0.28505400000000014,undef,0,0,0,0,0,,T,0
59,13663,1.9666666666666666,opponent,4.348283,13.871589,opponent,7.2220984,13.152004,teammate,2.3379498,1.749814,receiver,8.301913,1.8767526,5.553880674999999,9.712449130000001,0.4357710000000026,-2.665020000000009,0.1932479999999881,-0.7058400000000198,0.3858780000000017,-0.7762380000000024,-2.007000000000012,0.6514199999999937,undef,0,0,0,0,0,,T,0
60,13664,2.0,opponent,4.3628087,13.782755,opponent,7.22854,13.128476,teammate,2.3508124,1.7239394,receiver,8.235013,1.8984666,5.7475632,9.10030472,0.06944999999998203,-1.951199999999993,0.033471000000018236,2.552669999999999,0.7464570000000004,-0.05164199999999619,-0.7540500000000172,-0.2554139999999938,undef,0,0,0,0,0,,T,0
61,13665,2.033333333333333,opponent,4.3651237,13.717715,opponent,7.2296557,13.213565,teammate,2.3756943,1.722218,receiver,8.209878,1.8899528,5.941245725,8.48816031,-0.5345819999999879,-4.516619999999989,0.2369669999999946,-0.4219199999999823,0.7889010000000019,0.025032000000000387,-1.2407999999999753,0.1318649999999999,undef,0,0,0,0,0,,T,0
